Id ;Time;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
112; 01:21:50.218;ALO;14; 00:01:34.735;12.0;2.0;35.001;29.76;29.974;HARD;6.0;Aston Martin;7.0
113; 01:23:24.882;ALO;14; 00:01:34.664;13.0;2.0;34.964;29.795;29.905;HARD;7.0;Aston Martin;7.0
114; 01:24:59.759;ALO;14; 00:01:34.877;14.0;2.0;35.033;29.853;29.991;HARD;8.0;Aston Martin;7.0
115; 01:26:34.437;ALO;14; 00:01:34.678;15.0;2.0;34.902;29.818;29.958;HARD;9.0;Aston Martin;7.0
116; 01:28:09.210;ALO;14; 00:01:34.773;16.0;2.0;34.934;29.778;30.061;HARD;10.0;Aston Martin;7.0
117; 01:29:43.905;ALO;14; 00:01:34.695;17.0;2.0;34.943;29.737;30.015;HARD;11.0;Aston Martin;7.0
118; 01:31:18.556;ALO;14; 00:01:34.651;18.0;2.0;34.896;29.912;29.843;HARD;12.0;Aston Martin;7.0
119; 01:32:53.132;ALO;14; 00:01:34.576;19.0;2.0;34.983;29.717;29.876;HARD;13.0;Aston Martin;7.0
120; 01:34:27.522;ALO;14; 00:01:34.390;20.0;2.0;34.883;29.704;29.803;HARD;14.0;Aston Martin;7.0
121; 01:36:01.900;ALO;14; 00:01:34.378;21.0;2.0;34.729;29.72;29.929;HARD;15.0;Aston Martin;7.0
122; 01:37:36.073;ALO;14; 00:01:34.173;22.0;2.0;34.739;29.559;29.875;HARD;16.0;Aston Martin;7.0
123; 01:39:10.031;ALO;14; 00:01:33.958;23.0;2.0;34.657;29.538;29.763;HARD;17.0;Aston Martin;7.0
124; 01:40:44.064;ALO;14; 00:01:34.033;24.0;2.0;34.677;29.528;29.828;HARD;18.0;Aston Martin;7.0
125; 01:42:17.954;ALO;14; 00:01:33.890;25.0;2.0;34.616;29.499;29.775;HARD;19.0;Aston Martin;7.0
126; 01:43:51.795;ALO;14; 00:01:33.841;26.0;2.0;34.594;29.461;29.786;HARD;20.0;Aston Martin;7.0
127; 01:45:25.375;ALO;14; 00:01:33.580;27.0;2.0;34.426;29.398;29.756;HARD;21.0;Aston Martin;7.0
128; 01:46:59.238;ALO;14; 00:01:33.863;28.0;2.0;34.576;29.484;29.803;HARD;22.0;Aston Martin;7.0
129; 01:48:32.920;ALO;14; 00:01:33.682;29.0;2.0;34.537;29.386;29.759;HARD;23.0;Aston Martin;7.0
130; 01:50:06.413;ALO;14; 00:01:33.493;30.0;2.0;34.451;29.373;29.669;HARD;24.0;Aston Martin;7.0
131; 01:51:40.083;ALO;14; 00:01:33.670;31.0;2.0;34.486;29.375;29.809;HARD;25.0;Aston Martin;7.0
132; 01:53:13.481;ALO;14; 00:01:33.398;32.0;2.0;34.473;29.294;29.631;HARD;26.0;Aston Martin;7.0
133; 01:54:46.933;ALO;14; 00:01:33.452;33.0;2.0;34.434;29.329;29.689;HARD;27.0;Aston Martin;7.0
134; 01:56:20.194;ALO;14; 00:01:33.261;34.0;2.0;34.38;29.248;29.633;HARD;28.0;Aston Martin;7.0
135; 01:57:53.589;ALO;14; 00:01:33.395;35.0;2.0;34.323;29.277;29.795;HARD;29.0;Aston Martin;7.0
136; 01:59:26.603;ALO;14; 00:01:33.014;36.0;2.0;34.245;29.25;29.519;HARD;30.0;Aston Martin;7.0
137; 02:00:59.719;ALO;14; 00:01:33.116;37.0;2.0;34.24;29.262;29.614;HARD;31.0;Aston Martin;6.0
138; 02:02:32.656;ALO;14; 00:01:32.937;38.0;2.0;34.158;29.198;29.581;HARD;32.0;Aston Martin;5.0
139; 02:04:05.348;ALO;14; 00:01:32.692;39.0;2.0;34.055;29.086;29.551;HARD;33.0;Aston Martin;5.0
140; 02:05:37.775;ALO;14; 00:01:32.427;40.0;2.0;34.056;28.961;29.41;HARD;34.0;Aston Martin;5.0
141; 02:07:10.437;ALO;14; 00:01:32.662;41.0;2.0;34.078;29.065;29.519;HARD;35.0;Aston Martin;5.0
142; 02:08:42.847;ALO;14; 00:01:32.410;42.0;2.0;33.949;29.054;29.407;HARD;36.0;Aston Martin;5.0
143; 02:10:15.234;ALO;14; 00:01:32.387;43.0;2.0;33.992;28.953;29.442;HARD;37.0;Aston Martin;5.0
