Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
GAS,10, 00:01:42.047,33.0,3.0,27.021,30.957,44.069,HARD,10.0,Alpine,14.0
GAS,10, 00:01:41.522,34.0,3.0,26.869,30.671,43.982,HARD,11.0,Alpine,14.0
GAS,10, 00:01:41.078,35.0,3.0,26.903,30.4,43.775,HARD,12.0,Alpine,14.0
GAS,10, 00:01:41.311,36.0,3.0,26.719,30.619,43.973,HARD,13.0,Alpine,14.0
GAS,10, 00:01:41.071,37.0,3.0,26.683,30.446,43.942,HARD,14.0,Alpine,13.0
GAS,10, 00:01:46.348,38.0,3.0,26.86,30.38,49.108,HARD,15.0,Alpine,16.0
GAS,10, 00:01:58.239,39.0,4.0,45.416,29.829,42.994,MEDIUM,1.0,Alpine,16.0
GAS,10, 00:01:39.198,40.0,4.0,26.381,29.724,43.093,MEDIUM,2.0,Alpine,16.0
GAS,10, 00:01:39.758,41.0,4.0,26.464,29.968,43.326,MEDIUM,3.0,Alpine,15.0
GAS,10, 00:01:40.024,42.0,4.0,26.735,29.824,43.465,MEDIUM,4.0,Alpine,15.0
GAS,10, 00:01:40.029,43.0,4.0,26.675,29.951,43.403,MEDIUM,5.0,Alpine,15.0
GAS,10, 00:01:39.906,44.0,4.0,26.647,29.95,43.309,MEDIUM,6.0,Alpine,15.0
GAS,10, 00:01:40.065,45.0,4.0,26.604,30.016,43.445,MEDIUM,7.0,Alpine,15.0
GAS,10, 00:01:40.250,46.0,4.0,26.703,29.977,43.57,MEDIUM,8.0,Alpine,15.0
GAS,10, 00:01:40.397,47.0,4.0,26.674,29.913,43.81,MEDIUM,9.0,Alpine,15.0
GAS,10, 00:01:41.551,48.0,4.0,26.507,31.408,43.636,MEDIUM,10.0,Alpine,14.0
GAS,10, 00:01:40.305,49.0,4.0,26.766,30.071,43.468,MEDIUM,11.0,Alpine,14.0
GAS,10, 00:01:40.138,50.0,4.0,26.558,30.127,43.453,MEDIUM,12.0,Alpine,14.0
GAS,10, 00:01:40.497,51.0,4.0,26.744,30.177,43.576,MEDIUM,13.0,Alpine,14.0
GAS,10, 00:01:41.052,52.0,4.0,26.827,30.393,43.832,MEDIUM,14.0,Alpine,14.0
GAS,10, 00:01:41.373,53.0,4.0,26.98,30.549,43.844,MEDIUM,15.0,Alpine,13.0
GAS,10, 00:01:40.727,54.0,4.0,26.831,30.209,43.687,MEDIUM,16.0,Alpine,13.0
GAS,10, 00:01:40.737,55.0,4.0,26.799,30.2,43.738,MEDIUM,17.0,Alpine,13.0
GAS,10, 00:01:40.819,56.0,4.0,26.803,30.336,43.68,MEDIUM,18.0,Alpine,13.0
PER,11, 00:01:43.970,1.0,1.0,26.856,31.037,43.769,MEDIUM,1.0,Red Bull Racing,3.0
PER,11, 00:01:40.881,2.0,1.0,26.856,30.498,43.527,MEDIUM,2.0,Red Bull Racing,3.0
PER,11, 00:01:40.973,3.0,1.0,27.004,30.644,43.325,MEDIUM,3.0,Red Bull Racing,3.0
PER,11, 00:01:41.604,4.0,1.0,27.0,30.985,43.619,MEDIUM,4.0,Red Bull Racing,3.0
PER,11, 00:01:41.625,5.0,1.0,26.937,30.787,43.901,MEDIUM,5.0,Red Bull Racing,2.0
PER,11, 00:01:41.656,6.0,1.0,27.19,30.742,43.724,MEDIUM,6.0,Red Bull Racing,2.0
PER,11, 00:01:41.583,7.0,1.0,27.096,30.603,43.884,MEDIUM,7.0,Red Bull Racing,2.0
PER,11, 00:01:41.713,8.0,1.0,27.121,30.761,43.831,MEDIUM,8.0,Red Bull Racing,2.0
PER,11, 00:01:41.768,9.0,1.0,27.242,30.619,43.907,MEDIUM,9.0,Red Bull Racing,2.0
PER,11, 00:01:41.840,10.0,1.0,27.198,30.848,43.794,MEDIUM,10.0,Red Bull Racing,2.0
PER,11, 00:01:41.767,11.0,1.0,27.22,30.826,43.721,MEDIUM,11.0,Red Bull Racing,2.0
PER,11, 00:01:42.266,12.0,1.0,27.442,30.963,43.861,MEDIUM,12.0,Red Bull Racing,2.0
PER,11, 00:01:46.866,13.0,1.0,27.325,30.895,48.646,MEDIUM,13.0,Red Bull Racing,3.0
PER,11, 00:01:58.255,14.0,2.0,45.143,29.986,43.126,HARD,1.0,Red Bull Racing,6.0
PER,11, 00:01:40.038,15.0,2.0,26.702,30.175,43.161,HARD,2.0,Red Bull Racing,6.0
PER,11, 00:01:40.556,16.0,2.0,26.763,30.254,43.539,HARD,3.0,Red Bull Racing,5.0
PER,11, 00:01:42.103,17.0,2.0,26.834,31.213,44.056,HARD,4.0,Red Bull Racing,4.0
PER,11, 00:01:40.199,18.0,2.0,26.92,30.085,43.194,HARD,5.0,Red Bull Racing,4.0
PER,11, 00:01:40.313,19.0,2.0,26.929,30.099,43.285,HARD,6.0,Red Bull Racing,4.0
PER,11, 00:01:40.522,20.0,2.0,26.801,30.119,43.602,HARD,7.0,Red Bull Racing,4.0
PER,11, 00:01:47.126,21.0,2.0,26.877,30.246,53,HARD,8.0,Red Bull Racing,3.0
PER,11, 00:02:13.674,22.0,2.0,34.584,43.092,55.998,HARD,9.0,Red Bull Racing,3.0
PER,11, 00:02:17.492,23.0,2.0,36.656,40.424,60.412,HARD,10.0,Red Bull Racing,2.0
PER,11, 00:02:24.356,24.0,3.0,51.259,38.338,62.896,HARD,1.0,Red Bull Racing,4.0
PER,11, 00:02:24.356,25.0,3.0,35.618,47.349,61.389,HARD,2.0,Red Bull Racing,4.0
